遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構/概要,主な出土品
26,だいろくてんづかこふん,第六天塚古墳,世田谷区 喜多見四丁目,古墳時代,古墳, 円墳　[古墳時代]周溝　墳丘　葺石,円筒埴輪　蔵骨器
28-1,けいげんじこふんぐん1ごうふん,慶元寺古墳群1号墳,世田谷区 喜多見四丁目,古墳時代,古墳, 円墳　[古墳時代]周溝　葺石,土師器　須恵器　円筒埴輪　直刀
28-2,けいげんじこふんぐん2ごうふん,慶元寺古墳群2号墳,世田谷区 喜多見四丁目,古墳時代,古墳,円墳,埴輪
28-3,けいげんじこふんぐん3ごうふん,慶元寺古墳群3号墳,世田谷区 喜多見四丁目,古墳時代,古墳,円墳,円筒埴輪
28-4,けいげんじこふんぐん4ごうふん,慶元寺古墳群4号墳,世田谷区 喜多見四丁目,古墳時代,古墳,円墳,円筒埴輪　小刀
28-5,けいげんじこふんぐん5ごうふん,慶元寺古墳群5号墳,世田谷区 喜多見四丁目,古墳時代,古墳,,円筒埴輪
28-6,けいげんじこふんぐん6ごうふん,慶元寺古墳群6号墳,世田谷区 喜多見四丁目,古墳時代,古墳,前方後円墳?,円筒埴輪
28-7,けいげんじこふんぐん7ごうふん,慶元寺古墳群7号墳,世田谷区 喜多見四丁目,古墳時代,古墳,[古墳時代]横穴式石室,
28-8,けいげんじこふんぐん8ごうふん,慶元寺古墳群8号墳,世田谷区 喜多見四丁目,古墳時代,古墳,,円筒埴輪
29,なかのだいせき,中野田遺跡,世田谷区 喜多見八丁目　 喜多見九丁目,[縄文時代（早期〜中期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[古墳時代]住居　ピット　溝　[奈良時代]掘立柱建物　[平安時代]住居　[中世]竪穴遺構　井戸　土坑　[近世]ピット　土坑　溝,縄文土器　石器　弥生土器　土師器　須恵器　カワラケ　瓦質土器　陶磁器　鉄製品　青銅製品　煙管　木竹製品　板碑　銭貨　枕石　灰釉陶器　土錘　鉱滓
30,おおくら,大蔵遺跡,世田谷区 大蔵三丁目　 砧五丁目　 砧七丁目,[縄文時代（早期〜後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],集落,[縄文時代]住居址　小竪穴　土坑　配石　[弥生時代][古墳時代]住居址　溝　[時期不明]溝状遺構,縄文土器　石器　土偶　土師器　須恵器　陶磁器　土製品　ガラス製品
31,おおくらだんちおうけつぼぐん,大蔵団地横穴墓群,世田谷区 大蔵三丁目,[古墳時代],横穴墓,,耳環　人骨
32,そうごううんどうじょう,総合運動場遺跡,世田谷区 大蔵三丁目　 大蔵四丁目,[縄文時代（早期〜中期・晩期）][古墳時代],集落,[縄文時代]住居　集石　土坑　ピット群,縄文土器　石器　土錘　垂飾　土師器　紡錘車　銅釧　米　種子
33-1,おおくらこふんぐん1ごうふん,大蔵古墳群1号墳,世田谷区 大蔵四丁目,[古墳時代],古墳,円墳　[古墳時代]周溝　横穴式石室,須恵器
33-2,おおくらこふんぐん2ごうふん,大蔵古墳群2号墳,世田谷区 大蔵四丁目,[古墳時代],古墳,円墳　[古墳時代]横穴式石室,縄文土器　石器　弥生土器　土師器
33-3,おおくらこふんぐん3ごうふん,大蔵古墳群3号墳,世田谷区 大蔵四丁目,[古墳時代],古墳,円墳　[古墳時代]周溝,縄文土器
36,こうせいねんきんせんたー,厚生年金センター遺跡,世田谷区 大蔵四丁目,[縄文時代][近世],包蔵地,[縄文時代]集石土坑　土坑　ピット　[近世]溝,（縄文）縄文土器・石器　（古墳）土師器　（近世）陶磁器・土師質土器・石臼・砥石
37,とのやまいせき・おおくらやかたあと,殿山遺跡・大蔵館跡,世田谷区 大蔵五丁目　 大蔵六丁目,[縄文時代（中期）][弥生時代][古墳時代][中世],集落　城跡,[縄文時代]落し穴　土坑　ピット　[古墳時代]土坑　ピット　[近世]地下式坑　ピット,
38,かまたいせき,鎌田遺跡,世田谷区 鎌田三丁目　 鎌田四丁目,[縄文時代（前期）] [古墳時代][奈良時代][平安時代][中世][近世],集落,,土師器　須恵器　カワラケ　陶磁器　瓦
39-1,とのやまこふんぐん1ごうふん,殿山古墳群1号墳,世田谷区 大蔵六丁目,[古墳時代],古墳,円墳?　[古墳時代]横穴式石室,土師器　鉄鏃　鉄器　刀子　棗玉　ガラス玉　直刀　耳環　鉄環　顔料
39-2,とのやまこふんぐん2ごうふん,殿山古墳群2号墳,世田谷区 大蔵六丁目,[古墳時代],古墳,円墳　[古墳時代]横穴式石室,土師器　鉄片
39-3,とのやまこふんぐん3ごうふん,殿山古墳群3号墳,世田谷区 大蔵六丁目,[古墳時代],古墳,円墳?,土師器
39-4,とのやまこふんぐん4ごうふん,殿山古墳群4号墳,世田谷区 大蔵六丁目,[古墳時代],古墳,,
39-5,とのやまこふんぐん5ごうふん,殿山古墳群5号墳,世田谷区 大蔵六丁目,[古墳時代],古墳,円墳　[古墳時代]横穴式石室,