JASID,画面経度,画面緯度
1311212900,139.641,35.60414
1311213000,139.6459,35.60491
1311213100,139.6475,35.61235
1311213200,139.6472,35.61179
1311213300,139.6466,35.60473
1311213400,139.6479,35.6029
1311213500,139.6497,35.60318
1311213600,139.6515,35.60222
1311213700,139.6533,35.60129
1311213800,139.6552,35.60042
1311213900,139.6573,35.60068
1311214000,139.6569,35.60042
1311214100,139.6566,35.59972
1311214200,139.6797,35.6018
1311214300,139.6748,35.60334
1311214400,139.6707,35.60486
1311214500,139.6635,35.6037
1311214600,139.6588,35.60078
1311214700,139.6627,35.59994
1311215200,139.6033,35.64713
1311215300,139.6029,35.6368
1311215400,139.5999,35.64037
1311215500,139.5937,35.63851
1311215800,139.6001,35.6511
1311215900,139.5966,35.6261