"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","時代","種別","主な遺構/概要","主な出土品","経度","緯度","旧石器時代"
1321000301,13210,"3-1","へいたいさかいせき","平代坂遺跡","小金井市 前原町三丁目","[旧石器時代][縄文時代（中期）][中世]","集落","[旧石器時代]礫群 [縄文時代]住居 [中世]地下式土坑","ナイフ形石器 尖頭器 礫器 磨石 石核 縄文土器 陶器",139.5012,35.69879,"1"
1321000400,13210,"4","にしのだいいせき","西之台遺跡","小金井市 前原町三丁目 中町四丁目","[旧石器時代][縄文時代（草創期～後期）]","集落","[旧石器時代]礫群 [縄文時代]集石 炉穴 土坑","ナイフ形石器 尖頭器 有舌尖頭器 細石刃 細石核 掻器 石核 縄文土器 石斧 スタンプ形石器",139.5062,35.69861,"1"
1321000500,13210,"5","なかざんやいせき","中山谷遺跡","小金井市 中町一丁目 中町二丁目 中町三丁目","[旧石器時代][縄文時代（早期～後期）]","集落","[縄文時代]住居 集石土坑 土坑","細石刃 細石核 礫器 錐状石器 石核 剥片 縄文土器 石斧 石鏃 石匙 石皿 磨石 土器片錘 土製円板",139.5119,35.69695,"1"
1321000600,13210,"6","くりやまいせき","栗山遺跡","小金井市 中町一丁目 東町五丁目","[旧石器時代][縄文時代（中期）]","集落","[旧石器時代]礫群 [縄文時代]住居 土坑群","ナイフ形石器 細石核 剥片 縄文土器 石斧 石鏃 石皿 磨石 土器片錘 土製円板 土偶",139.519,35.69282,"1"
1321000700,13210,"7","あいしーゆーろけーしょん15いせき","ICULoc.15遺跡","小金井市 東町一丁目 東町五丁目","[旧石器時代][縄文時代（中期）]","集落","[旧石器時代]礫群 [縄文時代]土坑","ナイフ形石器 掻器 削器 石核 剥片 縄文土器",139.5235,35.68939,"1"
1321000800,13210,"8","あらまきいせき","荒牧遺跡","小金井市 貫井南町四丁目","[旧石器時代][縄文時代（前期～後期）][近世]","集落","[縄文時代]住居 土坑 [近世]掘立柱穴列 井戸","石核 剥片 縄文土器 石斧 石鏃 土製円板 陶磁器 鉄製品 板碑",139.4948,35.69673,"1"
1321000900,13210,"9","ぬくいみなみいせき","貫井南遺跡","小金井市 貫井南二丁目","[旧石器時代][縄文時代（早期～後期）]","集落","[縄文時代]住居 集石 土坑群","ナイフ形石器 尖頭器 縄文土器 打斧 磨斧 石鏃 石皿 磨石 けつ状耳飾",139.4985,35.69394,"1"
1321001200,13210,"12","まえはらいせき","前原遺跡","小金井市 前原町一丁目 前原町二丁目","[旧石器時代][縄文時代（草創期～後期）][近世]","集落","[旧石器時代]礫群 配石 [縄文時代]住居 集石 土坑","ナイフ形石器 尖頭器 剥片 縄文土器 打斧 有舌尖頭器 石鏃 磨石",139.5071,35.69322,"1"
1321001400,13210,"14","しんばしいせき","新橋遺跡","小金井市 中町一丁目","[旧石器時代][縄文時代（後期）]","集落","[旧石器時代]礫群 [縄文時代]住居 土坑","ナイフ形石器 尖頭器 細石刃 細石核 剥片 縄文土器 石斧 石錘",139.5121,35.69427,"1"
1321001600,13210,"16","しちけんやいせき","七軒家遺跡","小金井市 前原町二丁目","[旧石器時代][縄文時代（草創期～後期）][古墳時代][中世][近世]","包蔵地","[時代不明]土坑 溝状遺構","有舌尖頭器 削器 剥片 縄文土器 打斧 磨石 土師器 陶磁器 カワラケ",139.5142,35.69129,"1"
1321001700,13210,"17","のがわなかすいせき","野川中洲遺跡","小金井市 前原町二丁目","[旧石器時代][縄文時代（後期）]","包蔵地","","ナイフ形石器 槍先形尖頭器 有茎尖頭器 礫器 剥片 縄文土器 打斧",139.5157,35.69202,"1"
1321001800,13210,"18","のがわなかすきたいせき","野川中洲北遺跡","小金井市 中町一丁目","[旧石器時代][縄文時代（草創期～早期・後期）][古墳時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック 礫群 配石 炭化物集中 [縄文時代]住居 集石 土坑 ピット [平安時代]土坑 [中世]掘立柱建物 ピット 土坑 溝 [近世]ピット 土坑","ナイフ形石器 尖頭器 細石刃 打斧 局部磨斧 礫器 縄文土器 打斧 磨斧 石槍 有舌尖頭器 石鏃 石錘 石皿 磨石 敲石 木製品 土師器 刀子 陶磁器",139.5162,35.69313,"1"
1321001900,13210,"19","むさしのこうえんていしっちいせき","武蔵野公園低湿地遺跡","小金井市 東町五丁目","[旧石器時代][縄文時代（前期～後期）][古墳時代][中世][近世]","包蔵地","[時代不明]河道 土坑 丸木橋状遺構","石器 縄文土器 石斧 石鏃 石皿 磨石 木製品 漆塗りくし 土師器 板碑 銭貨 陶磁器",139.5198,35.69087,"1"
1321002000,13210,"20","","小金井市№20遺跡","小金井市 東町一丁目","[旧石器時代][縄文時代（中期～後期）]","包蔵地","","縄文土器",139.5227,35.68884,"1"
1321002200,13210,"22","","小金井市№22遺跡","小金井市 本町五丁目","[旧石器時代][縄文時代（早期）]","包蔵地","","剥片 縄文土器",139.5015,35.70646,"1"
1321100100,13211,"1","おがわちょういっちょうめいせき","小川町一丁目遺跡","小平市 小川町一丁目","[旧石器時代]","包蔵地","","尖頭器",139.4581,35.73002,"1"
1321100300,13211,"3","すずきいせき","鈴木遺跡","小平市 鈴木町 回田町 御幸町","[旧石器時代][縄文時代（前期～中期）][近世]","包蔵地・集落","[旧石器時代]ユニット 礫群 炭化物集中箇所 炉 土坑 [縄文時代]土坑 [近世]水車 水路 暗渠","ナイフ形石器 尖頭器 尖頭状石器 細石刃 台形様石器 掻器 彫器 石斧 礫器 敲石 磨石 台石 石核 縄文土器 打斧 石鏃 陶磁器 鉄製品 簪",139.499,35.71788,"1"
1321100400,13211,"4","はなこがねいみなみいせき","花小金井南遺跡","小平市 花小金井南町一丁目","[旧石器時代]","包蔵地・集落","[旧石器時代]礫群","削器 剥片 石核 礫",139.5133,35.72026,"1"
1321200100,13212,"1","ななつづかいせき","七ツ塚遺跡","日野市 新町四丁目 新町五丁目","[旧石器時代][縄文時代（草創期～後期）][古墳時代][奈良時代][中世]","集落","[縄文時代]住居 集石 土坑 溝","縄文土器 石鏃 石錘 石棒 弥生土器 土師器 須恵器 陶器",139.3793835,35.68263916,"1"
1321200600,13212,"6","しんめいうえいせき","神明上遺跡","日野市 神明一丁目 神明二丁目 神明三丁目 神明四丁目 大坂上三丁目 大坂上四丁目 多摩平七丁目","[旧石器時代][縄文時代（早期～中期）][弥生時代][古墳時代][奈良時代][平安時代][近世]","集落","住居 掘建柱建物跡 土坑 集石 溝","石器 縄文土器 土師器 須恵器ほか",139.3932299,35.67174888,"1"
1321202500,13212,"25","","日野市№25遺跡","日野市 旭が丘六丁目","[旧石器時代]","包蔵地","","石器",139.3665114,35.65984208,"1"
1321202800,13212,"28","みなみだいらいせき","南平遺跡","日野市 南平","[旧石器時代]","包蔵地","[旧石器時代]礫群","礫器 敲石 台石",139.3998752,35.65271619,"1"
1321205100,13212,"51","","日野市№51遺跡","日野市 多摩平六丁目","[旧石器時代][縄文時代（早期～前期・後期）][平安時代][中世]","集落","[旧石器時代]石器ブロック [縄文時代]土坑 ピット [平安時代]竪穴住居址 土坑","石器（尖頭器） 土器 石器 土師器",139.382675,35.670509,"1"
1321400100,13214,"1","くまのごういせき","熊ノ郷遺跡","国分寺市 西恋ヶ窪三丁目 西恋ヶ窪四丁目","[旧石器時代][縄文時代]","集落","[旧石器時代]石器集中部 礫群","尖頭器 石刃 礫器 剥片",139.4669101,35.70531943,"1"
1321400200,13214,"2","こいがくぼいせき","恋ヶ窪遺跡","国分寺市 西恋ヶ窪一丁目　 東恋ヶ窪一丁目　 東恋ヶ窪三丁目","[旧石器時代][縄文時代（早期・中期～後期）][奈良時代][平安時代][中世]","集落","[縄文時代]住居　敷石住居　集石　土坑　屋外埋甕　[中世]溝","(縄文)縄文土器　打斧　磨斧　石槍　石鏃　掻器　彫器　石匙　石錐　ピエス・エスキーユ　スタンプ形石器　敲石　砥石　土錘　土製円板　耳飾　硬玉製大珠　器台　(中世)陶器",139.4705243,35.70254176,"1"
1321400300,13214,"3","こいがくぼみなみいせき","恋ヶ窪南遺跡","国分寺市 西恋ヶ窪一丁目 東恋ヶ窪一丁目 泉町一丁目","[旧石器時代][縄文時代（早期・中期）]","集落","[縄文時代]住居 集石土坑 土坑","縄文土器",139.4736221,35.69993871,"1"
1321400700,13214,"7","たまらんざかいせき","多摩蘭坂遺跡","国分寺市 内藤一丁目 内藤二丁目","[旧石器時代][縄文時代][奈良時代]","集落","[旧石器時代]ユニット礫群","(旧石器時代)ナイフ形石器 尖頭器 角錐状石器 掻器 彫器 打斧 礫器 敲石 (奈良時代)銭貨 須恵器",139.4577268,35.69368698,"1"
1321400800,13214,"8","はなざわにしいせき","花沢西遺跡","国分寺市 本町四丁目 南町三丁目 泉町一丁目 東恋ヶ窪一丁目","[旧石器時代][縄文時代][弥生時代]","集落","[縄文時代]住居 土坑 埋甕","縄文土器 打斧 磨斧 石鏃 石匙 石錐 スタンプ形石器 石棒 弥生土器",139.4680368,35.69935258,"1"
1321400900,13214,"9","ひかげやまいせき","日影山遺跡","国分寺市 泉町二丁目 西恋ヶ窪一丁目","[旧石器時代][縄文時代（中期）][奈良時代][平安時代][中世]","包蔵地","[旧石器時代]石器集中部 集石 ユニット 礫群 [縄文時代]竪穴住居 [歴史時代]掘立柱建物 柵列 井戸 火葬墓 土壙墓 井戸 道路跡（鎌倉街道） 溝 土坑 集石 特殊遺構","(旧石器時代)尖頭器 ナイフ形石器 スクレイパー 剥片遺物 石核 (縄文時代)土器 打製石斧 (歴史時代)土師質土器 瓦質土器 土器（在地土器） 陶磁器 銭貨 金属製品（刀子） 砥石 板碑 銭貨 鉄製品（鉄釘） 瓦",139.4717981,35.69264697,"1"
1321401100,13214,"11","たきくぼいせき","多喜窪遺跡","国分寺市 西元町二丁目 西元町四丁目","[旧石器時代][縄文時代（中期）]","集落","[縄文時代]住居 土壙","縄文土器 打斧 磨斧 石鏃 掻器 石皿 磨石 スタンプ形石器",139.4674663,35.69221292,"1"
1321401900,13214,"19","むさしこくぶんじあと","武蔵国分寺跡","国分寺市 東元町二丁目 東元町三丁目 東元町四丁目 西元町一丁目 西元町二丁目 西元町三丁目 西元町四丁目 泉町一丁目 泉町二丁目 泉町三丁目 西恋ヶ窪一丁目","[旧石器時代][縄文時代][奈良時代][平安時代][中世][近世]","集落","[縄文時代]住居 [奈良時代][平安時代]住居 掘立柱建物 道路 溝 [中世]門 土坑 地下式横穴","縄文土器 陶磁器 土製品 石製品 鉄製品 青銅製品 瓦 <U+587C>",139.4662512,35.6985094,"1"
1321402000,13214,"20","とのがやときたいせき","殿ヶ谷戸北遺跡","国分寺市 南町一丁目","[旧石器時代][縄文時代（早期・中期）]","集落","[旧石器時代]礫群","ナイフ形石器 尖頭器 掻器 石核 縄文土器",139.4827089,35.69219995,"1"
1321402100,13214,"21","とのがやといせき","殿ヶ谷戸遺跡","国分寺市 南町二丁目 東元町一丁目 二丁目","[旧石器時代][縄文時代（早期・中期）]","集落","[旧石器時代]礫群 [縄文時代]土坑","ナイフ形石器 尖頭器 掻器 石核 縄文土器",139.4854196,35.69257342,"1"
1321402800,13214,"28","ほんちょう（こくぶんじむらせっきじだい）いせき","本町（国分寺村石器時代）遺跡","国分寺市 南町二丁目 本町二丁目","[旧石器時代][縄文時代（中期）][奈良時代][平安時代]","集落","[縄文時代]住居 土坑 埋甕","縄文土器 打斧 磨斧 石鏃 敲石",139.483665,35.70079777,"1"
1321402900,13214,"29","","国分寺市№29遺跡","国分寺市 南町一丁目 本町一丁目","[旧石器時代][縄文時代][奈良時代][平安時代]","包蔵地","","縄文土器",139.4851149,35.70016943,"1"
1321403700,13214,"37","","国分寺市№37遺跡","国分寺市 西恋ヶ窪三丁目","[旧石器時代][縄文時代][奈良時代][平安時代]","包蔵地","[旧石器時代]ユニット 土坑 [縄文時代]土坑 [奈良時代][平安時代]土坑 溝","ナイフ形石器 尖頭器 細石刃 台形石器 楔形石器 掻器 錐 打斧 磨石 石核 縄文土器 石器",139.464439,35.70336272,"1"
1321405200,13214,"52","","国分寺市№52遺跡","国分寺市 西恋ヶ窪三丁目","[旧石器時代]","包蔵地","","",139.4639927,35.70517487,"1"
1321405300,13214,"53","とうきょうけいざいだいがくこうないいせき","東京経済大学構内遺跡","国分寺市 南町一丁目","[旧石器時代][縄文時代（早期・中期）]","包蔵地","","尖頭器 掻器 彫器 打斧 剥片 縄文土器",139.4901274,35.69927724,"1"
1321405400,13214,"54","はなざわひがしいせき","花沢東遺跡","国分寺市 南町二丁目 南町三丁目","[旧石器時代][縄文時代]","集落","[旧石器時代]礫群 [縄文時代]住居 土坑","ナイフ形石器 尖頭器 角錐状石器 掻器 敲石 打斧 石匙 石皿 スタンプ形石器 台石 砥石",139.4816738,35.69817697,"1"
1321405500,13214,"55","ひかりちょういせき","光町遺跡","国分寺市 光町三丁目","[旧石器時代]","集落","[旧石器時代]礫群","ナイフ形石器 角錐状石器 掻器 彫器 敲石 磨石 石核",139.4421917,35.7065688,"1"
1321405600,13214,"56","","国分寺市№56遺跡","国分寺市 光町一丁目","[旧石器時代][縄文時代]","包蔵地","[縄文時代]土坑","",139.4486461,35.70160629,"1"
1321405700,13214,"57","こいがくぼひがしいせき","恋ヶ窪東遺跡","国分寺市 本町四丁目 東恋ヶ窪一丁目 東恋ヶ窪二丁目","[旧石器時代][縄文時代（中期）][奈良時代][平安時代]","集落","[縄文時代]掘立柱建物跡 敷石住居 集石土坑 土坑 屋外埋甕 炉穴 陥穴 特殊遺構","(旧石器時代)細石刃 尖頭器 ナイフ形石器 (縄文時代)縄文土器 ミニチュア土器 耳栓 器台 打製石斧 石鏃 掻器 石匙 石錐 石皿 磨石 土製円板 尖頭器 石棒 硬玉製原石 (奈良・平安時代)土師器 瓦",139.4770468,35.70348715,"1"
1321500200,13215,"2","みねうえいせき","峰上遺跡","国立市 富士見台三丁目","[旧石器時代][縄文時代][平安時代]","集落","[旧石器時代]ブロック 礫群 配石 [縄文時代]土坑","ナイフ形石器 尖頭器 スクレイパー 敲石 石核 剥片 縄文土器 土師器",139.4363187,35.68552263,"1"
1321500500,13215,"5","かりやうえにしいせき","仮屋上西遺跡","国立市 谷保","[旧石器時代][縄文時代（中期）][平安時代][中世]","集落","[奈良時代]住居跡 溝状遺構 [平安時代]住居跡 土坑 ピット","土師器 須恵器 陶器 須恵器質陶器 刀子 紡錘車 古銭(隆平永寶) 風字硯",139.4417242,35.6828501,"1"
1321500800,13215,"8","みどりかわひがしいせき","緑川東遺跡","国立市 青柳一丁目 青柳三丁目","[旧石器時代][縄文時代（早期～後期）][奈良時代][平安時代][近世]","集落","[旧石器時代]ブロック 礫群 配石 [縄文時代]住居跡 竪穴状遺構 集石 炉穴 土坑 ピット 焼土跡 [奈良時代][平安時代]溝 [近世]溝状遺構 土坑","ナイフ形石器 尖頭器 石核 細石刃核 スクレイパー 縄文土器 打斧 石匙 土偶 打製石斧 有舌尖頭器 石鏃 スタンプ形石器 礫器 扶入磨石 磨石 石皿 石錘 石棒 耳栓 垂飾",139.423645,35.686913,"1"
1321500900,13215,"9","あおやぎいせき","青柳遺跡","国立市 青柳","[旧石器時代][縄文時代（中期）][平安時代]","包蔵地","","尖頭器 打斧 縄文土器 石斧 土師器",139.4220708,35.6823436,"1"
1321501200,13215,"12","しけんざけいせき","四軒在家遺跡","国立市 矢川三丁目","[旧石器時代][縄文時代（中期）][古墳時代][平安時代][近世]","集落","[縄文時代]敷石住居 住居跡 集石 土坑 ピット 埋設土器[中世][近世]溝状遺構 土坑 柱穴","縄文土器 剥片 円筒埴輪 打製石斧 異形土器（ミニチュア土器） ナイフ形石器 有舌尖頭器 石鏃 掻器 石匙 スタンプ形石器 土師器 坏 須恵器 陶磁器",139.4274159,35.6809353,"1"
1321904201,13219,"42-1","べんてんいけいせき","弁財天池遺跡","狛江市 中和泉一丁目","[旧石器時代][縄文時代（中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]ブロック [縄文時代]住居 集石 土坑 [弥生時代][古墳時代]方形周溝墓 [古墳時代][奈良時代]住居 [奈良時代][平安時代]掘立柱建物 [中世][近世]土坑","ナイフ形石器 尖頭器 細石刃 縄文土器 打斧 石鏃 石皿 土製円板 石棒 弥生土器 槍先形鉄製品 鉄釧 銅釧 土師器 須恵器 紡錘車 銀製穂積具",139.575899,35.63310663,"1"
1322301300,13223,"13","きちじょうやまいせき","吉祥山遺跡","武蔵村山市 本町四丁目","[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][平安時代]","集落","[縄文時代]住居　炉穴　野外炉　土坑　[弥生時代]住居　[古墳時代]住居","ナイフ形石器　尖頭器　縄文土器　打斧　石鏃　石刃　弥生土器　土師器　須恵器　瓦",139.387821,35.75868928,"1"
1322301800,13223,"18","やしきやまいせき","屋敷山遺跡","武蔵村山市 中藤一丁目","[旧石器時代][縄文時代（草創期～晩期）][弥生時代（後期）][古墳時代][平安時代][中世]","集落","[縄文時代]住居　竪穴状遺構　ピット","縄文土器　打斧　スタンプ形石器　弥生土器　土師器　瓦",139.3980655,35.75746344,"1"
1322303000,13223,"30","あたごまついせき","アタゴ松遺跡","武蔵村山市 榎三丁目","［旧石器時代］[縄文時代][古墳時代]","包蔵地","","縄文土器　土師器",139.3823414,35.74670853,"1"
1322303100,13223,"31","おいせじいせき","御伊勢地遺跡","武蔵村山市 中央二丁目","[旧石器時代][縄文時代（中期）]","包蔵地","","ナイフ形石器　縄文土器　打斧",139.3929157,35.75102738,"1"
1322303300,13223,"33","くぼいせき","久保遺跡","武蔵村山市 神明一丁目","[旧石器時代][縄文時代（草創期・中期）]","包蔵地","","ナイフ形石器　細石刃　縄文土器　石槍　有古尖頭器　石鏃",139.3993015,35.75286631,"1"
1322303400,13223,"34","ねんぶつづかだい1いせき","念仏塚第1遺跡","武蔵村山市 神明四丁目","[旧石器時代][縄文時代（中期）]","集落","[旧石器時代]ブロック　[縄文時代]集石土坑　土坑　[時代不明]溝","ナイフ形石器　剥片　縄文土器　打斧　陶器",139.4019451,35.7513896,"1"
1322808700,13228,"87","いいざかうえいせき","飯坂上遺跡","あきる野市 二宮","[旧石器時代][縄文時代（中期）]","包蔵地","","尖頭器　縄文土器　石鏃",139.3071991,35.72688357,"1"
1322808900,13228,"89","まえだこうちいせき","前田耕地遺跡","あきる野市 二宮　 野辺　 小川","[旧石器時代][縄文時代（草創期～後期）][弥生時代][古墳時代][平安時代][中世][近世]","集落","[縄文時代]住居跡　集石土坑　炉　土坑　石器製作址　配石","尖頭器　細石刃核　掻器　削器　縄文土器　打斧　磨斧　礫器　石鏃　石匙　石皿　磨石　台石　有溝砥石　剥片　土錘　土偶　弥生土器　土師器　須恵器　陶器（灰釉)　鎌　刀子　陶磁器　瓦　杭　焼礫",139.3154045,35.72418002,"1"
1322809100,13228,"91","にのみや・にのみやもりこしいせき","二宮・二宮森腰遺跡","あきる野市 二宮　 平沢","[旧石器時代][縄文時代（草創期～後期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","集落・経塚・社寺・城館","[縄文時代]住居跡　敷石住居　炉　土坑　柱穴群　埋甕　[平安時代]経塚　[中世]地下式土坑","細石刃核　縄文土器　打斧　磨斧　礫器　石鏃　石匙　石錐　石箆　石皿　磨石　スタンプ形石器　凹石　剥片石器　弥生土器　土師器　須恵器　鉄釘　鉄製品　鍔　柄頭鞘尻　瓦　陶磁器　金銅仏　銭貨",139.3128296,35.72886241,"1"
1322900100,13229,"1","きたみやのわきいせき","北宮ノ脇遺跡","西東京市 北町五丁目","[旧石器時代][縄文時代(早期・中期)][近世]","集落","[旧石器時代]ブロック 礫群 [縄文時代]土坑 ピット 焼土跡 [近世]溝","石器 剥片 焼礫 縄文土器 陶磁器",139.5624,35.75549,"1"
1322900300,13229,"3","なかあらやしきいせき","中荒屋敷遺跡","西東京市 下保谷三丁目","[旧石器時代][縄文時代(前期)][弥生時代]","包蔵地","[旧石器時代]ブロック","縄文土器 弥生土器 剥片",139.5646,35.75364,"1"
1322900700,13229,"7","したのやいせき","下野谷遺跡","西東京市 東伏見二丁目 東伏見三丁目 東伏見六丁目","[旧石器時代][縄文時代(早期～後期)][弥生時代（後期）][古墳時代][平安時代][近世]","集落","[旧石器時代]ブロック 礫群 炭化物集中 [縄文時代]住居跡 掘立柱建物跡 竪穴 炉穴 陥し穴 集石土坑 土坑 ピット ピット列 埋設土器 [近世]竪穴 溝 道路 集石 配石 柵列 土坑 硬化面 畑 ピット","石器 剥片 焼礫 縄文土器 土錘 土製円盤 垂飾 耳栓 炭化物 矢柄研磨器 砥石 陶磁器 土師質土器 瓦質土器 銭貨 煙管 須恵器 管状土錘 土鈴 刀子 釘 弥生土器 土師器",139.5611,35.7257,"1"
1322900800,13229,"8","さかしたいせき","坂下遺跡","西東京市 東伏見五丁目 柳沢二丁目","[旧石器時代][縄文時代(早期～中期)][平安時代][近世]","集落","[旧石器時代]礫群 ブロック 炭化物集中 土坑 [縄文時代]土坑 ピット [平安時代]住居跡 [近世]溝 土坑 ピット","石器 剥片 焼礫 縄文土器 粘土塊 土師器 須恵器 陶磁器 土師質土器 瓦質土器 銭貨 煙管 石臼",139.5576,35.72376,"1"
1322901000,13229,"10","ひがしふしみいなりじんじゃいせき","東伏見稲荷神社遺跡","西東京市 東伏見一丁目","[旧石器時代][縄文時代(中期)]","包蔵地","","尖頭器 縄文土器",139.5582,35.72677,"1"
1322901100,13229,"11","しもやぎさわいせき","下柳沢遺跡","西東京市 東伏見二丁目 東伏見三丁目","[旧石器時代][縄文時代(草創期～後期)][中世][近世]","集落・その他の墓","[旧石器時代]ブロック 礫群 [縄文時代]住居 土坑 ピット [中]井戸 地下式土坑 [近世]土坑 井戸 溝 水車 畑 水田","縄文土器 石器 剥片 焼礫 陶磁器 土師質土器 瓦質土器 茶臼 板碑 銭貨",139.5642,35.72665,"1"
1322901600,13229,"16","たなしみなみちょういせき","田無南町遺跡","西東京市 南町五丁目","[旧石器時代][縄文時代(草創期～早期)][近世]","包蔵地","[旧石器時代]ブロック 礫群 [縄文時代]陥し穴 [近世]溝","ナイフ形石器 細石刃 掻器 削器 彫器 局部磨製石斧 敲石 磨石 縄文土器 打斧 石槍 石鏃 陶磁器 瓦 煙管 泥面子",139.5344,35.72371,"1"
1330300100,13303,"1","まつばらいせき","松原遺跡","瑞穂町 箱根ヶ崎","[旧石器時代][縄文時代（前期）]","包蔵地","[旧石器時代]礫群 [縄文時代]土坑","縄文土器 石鏃 石器 打製石斧",139.3442205,35.77458789,"1"
1330300200,13303,"2","さやまいせき","狭山遺跡","瑞穂町 箱根ヶ崎","[旧石器時代][縄文時代（前期～中期）][弥生時代][古墳時代][平安時代]","集落","［時代不明］住居跡 炉 土坑 溝状遺構 溝","ナイフ形石器 尖頭器 細石刃 細石刃核 掻器 削器 石錐 旧石器 縄文土器 打斧 磨斧 有茎尖頭器 石鏃 石皿 磨石 凹石 敲石 土製円板 石器 弥生土器 土師器 須恵器 陶磁器 ガラス製品 金属製品 銭貨",139.3498167,35.77550709,"1"
1330300300,13303,"3","せんげんやついせき","浅間谷遺跡","瑞穂町 箱根ヶ崎","[旧石器時代][縄文時代（早期・中期～後期）]［弥生時代］","包蔵地","[縄文時代]炉","尖頭器 細石刃核 掻器 縄文",139.3540739,35.776287,"1"
1330300900,13303,"9","ろくどうやまいせき","六道山遺跡","瑞穂町 石畑","[旧石器時代][縄文時代（早期～中期）]","集落","[縄文時代]炉穴群 土坑","尖頭器 縄文土器 打斧 磨斧 礫器 掻器 削器 石錐 石皿 磨石 有孔石器 有孔土製円板",139.3661932,35.77542352,"1"
1330301700,13303,"17","","瑞穂町№17遺跡","瑞穂町 殿ヶ谷","[旧石器時代]","包蔵地","","尖頭器",139.3584481,35.75729499,"1"
1330501700,13305,"17","みよしのいせきぐんせいぼうちくいせき","三吉野遺跡群清坊地区遺跡","日の出町 平井","[旧石器時代][縄文時代（前期）][古墳時代][奈良時代][平安時代][中世][近世]","集落・社寺・窯","[旧石器時代]礫群　[縄文時代]集石土坑　[弥生時代][古墳時代]住居　土坑　[奈良時代][平安時代]住居　掘立柱建物　土師器焼成坑　[中世][近世]閻魔堂？　溝　土坑　地下室","縄文土器　弥生土器　土師器　陶磁器　鉄器　銭貨　板碑　焼礫　人骨",139.2759392,35.73964155,"1"
1330700500,13307,"5","おうじがしょういせき","王子ヶ城遺跡","檜原村 小岩　 王子ケ原","[旧石器時代][縄文時代（早期・中期～晩期）]","集落","[縄文時代]敷石住居","細石刃核　縄文土器　打斧　磨斧　石鏃　掻器　石錘　耳栓　石棒　石剣　土偶",139.1125791,35.73067187,"1"
