JASID,自治体コード,遺跡番号,ふりがな,遺跡名,住所,時代,種別,主な遺構/概要,主な出土品
1321000100,13210,1,ぬくいいせき,貫井遺跡,小金井市 貫井南町三丁目,[旧石器時代][縄文時代（早期～後期）],集落,[縄文時代]住居 集石 土坑群,剥片 縄文土器 磨斧 石斧 石鏃 石匙 石皿 磨石 耳栓 硬玉製大珠 土製垂飾
1321000200,13210,2,はけうえいせき,はけうえ遺跡,小金井市 貫井南町三丁目 前原町三丁目,[旧石器時代][縄文時代（草創期～後期）],集落,[旧石器時代]礫群 [縄文時代]住居 集石 土坑,ナイフ形石器 尖頭器 細石刃 局部磨斧 縄文土器 石斧 石鏃 石皿 スタンプ形石器
1321000301,13210,3-1,へいたいさかいせき,平代坂遺跡,小金井市 前原町三丁目,[旧石器時代][縄文時代（中期）][中世],集落,[旧石器時代]礫群 [縄文時代]住居 [中世]地下式土坑,ナイフ形石器 尖頭器 礫器 磨石 石核 縄文土器 陶器
1321000302,13210,3-2,まえはらよこあなぼ,前原横穴墓,小金井市 前原町三丁目,[古墳時代],横穴墓,,人骨
1321000400,13210,4,にしのだいいせき,西之台遺跡,小金井市 前原町三丁目 中町四丁目,[旧石器時代][縄文時代（草創期～後期）],集落,[旧石器時代]礫群 [縄文時代]集石 炉穴 土坑,ナイフ形石器 尖頭器 有舌尖頭器 細石刃 細石核 掻器 石核 縄文土器 石斧 スタンプ形石器
1321000500,13210,5,なかざんやいせき,中山谷遺跡,小金井市 中町一丁目 中町二丁目 中町三丁目,[旧石器時代][縄文時代（早期～後期）],集落,[縄文時代]住居 集石土坑 土坑,細石刃 細石核 礫器 錐状石器 石核 剥片 縄文土器 石斧 石鏃 石匙 石皿 磨石 土器片錘 土製円板
1321000600,13210,6,くりやまいせき,栗山遺跡,小金井市 中町一丁目 東町五丁目,[旧石器時代][縄文時代（中期）],集落,[旧石器時代]礫群 [縄文時代]住居 土坑群,ナイフ形石器 細石核 剥片 縄文土器 石斧 石鏃 石皿 磨石 土器片錘 土製円板 土偶
1321000700,13210,7,あいしーゆーろけーしょん15いせき,ICULoc.15遺跡,小金井市 東町一丁目 東町五丁目,[旧石器時代][縄文時代（中期）],集落,[旧石器時代]礫群 [縄文時代]土坑,ナイフ形石器 掻器 削器 石核 剥片 縄文土器
1321000800,13210,8,あらまきいせき,荒牧遺跡,小金井市 貫井南町四丁目,[旧石器時代][縄文時代（前期～後期）][近世],集落,[縄文時代]住居 土坑 [近世]掘立柱穴列 井戸,石核 剥片 縄文土器 石斧 石鏃 土製円板 陶磁器 鉄製品 板碑
1321000900,13210,9,ぬくいみなみいせき,貫井南遺跡,小金井市 貫井南二丁目,[旧石器時代][縄文時代（早期～後期）],集落,[縄文時代]住居 集石 土坑群,ナイフ形石器 尖頭器 縄文土器 打斧 磨斧 石鏃 石皿 磨石 けつ状耳飾
1321001000,13210,10,,小金井市№10遺跡,小金井市 前原町五丁目,[縄文時代（前期～中期）],包蔵地,,縄文土器
1321001100,13210,11,,小金井市№11遺跡,小金井市 前原町三丁目,[縄文時代][中世],包蔵地,,縄文土器 石棒 蔵骨器
1321001200,13210,12,まえはらいせき,前原遺跡,小金井市 前原町一丁目 前原町二丁目,[旧石器時代][縄文時代（草創期～後期）][近世],集落,[旧石器時代]礫群 配石 [縄文時代]住居 集石 土坑,ナイフ形石器 尖頭器 剥片 縄文土器 打斧 有舌尖頭器 石鏃 磨石
1321001300,13210,13,,小金井市№13遺跡,小金井市 中町四丁目,[縄文時代],包蔵地,,縄文土器
1321001400,13210,14,しんばしいせき,新橋遺跡,小金井市 中町一丁目,[旧石器時代][縄文時代（後期）],集落,[旧石器時代]礫群 [縄文時代]住居 土坑,ナイフ形石器 尖頭器 細石刃 細石核 剥片 縄文土器 石斧 石錘
1321001500,13210,15,,小金井市№15遺跡,小金井市 前原町二丁目,[縄文時代],包蔵地,,縄文土器
1321001600,13210,16,しちけんやいせき,七軒家遺跡,小金井市 前原町二丁目,[旧石器時代][縄文時代（草創期～後期）][古墳時代][中世][近世],包蔵地,[時代不明]土坑 溝状遺構,有舌尖頭器 削器 剥片 縄文土器 打斧 磨石 土師器 陶磁器 カワラケ
1321001700,13210,17,のがわなかすいせき,野川中洲遺跡,小金井市 前原町二丁目,[旧石器時代][縄文時代（後期）],包蔵地,,ナイフ形石器 槍先形尖頭器 有茎尖頭器 礫器 剥片 縄文土器 打斧
1321001800,13210,18,のがわなかすきたいせき,野川中洲北遺跡,小金井市 中町一丁目,[旧石器時代][縄文時代（草創期～早期・後期）][古墳時代][平安時代][中世][近世],集落,[旧石器時代]ブロック 礫群 配石 炭化物集中 [縄文時代]住居 集石 土坑 ピット [平安時代]土坑 [中世]掘立柱建物 ピット 土坑 溝 [近世]ピット 土坑,ナイフ形石器 尖頭器 細石刃 打斧 局部磨斧 礫器 縄文土器 打斧 磨斧 石槍 有舌尖頭器 石鏃 石錘 石皿 磨石 敲石 木製品 土師器 刀子 陶磁器
1321001900,13210,19,むさしのこうえんていしっちいせき,武蔵野公園低湿地遺跡,小金井市 東町五丁目,[旧石器時代][縄文時代（前期～後期）][古墳時代][中世][近世],包蔵地,[時代不明]河道 土坑 丸木橋状遺構,石器 縄文土器 石斧 石鏃 石皿 磨石 木製品 漆塗りくし 土師器 板碑 銭貨 陶磁器
1321002000,13210,20,,小金井市№20遺跡,小金井市 東町一丁目,[旧石器時代][縄文時代（中期～後期）],包蔵地,,縄文土器
1321002100,13210,21,のがわこうえんさくいせき,野川公園柵遺跡,小金井市 東町一丁目,[縄文時代（中期～後期）],集落,[縄文時代]住居,縄文土器
1321002200,13210,22,,小金井市№22遺跡,小金井市 本町五丁目,[旧石器時代][縄文時代（早期）],包蔵地,,剥片 縄文土器
1321002300,13210,23,,小金井市№23遺跡,小金井市 前原町四丁目,[時代不明],塚,,